"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"MAGIX",-0.420989747047638,4.46621391983875,-5.92939673767877,1.21985116306478e-07,1.16334541378718e-05,7.42779230897661,"No"
"AKR7L",-0.680433223204486,5.24439843506814,-5.92306210058477,1.25093806602175e-07,1.18247287215239e-05,7.40384720163103,"No"
"MUC6",-2.41634801770656,7.05071254021032,-5.9224145910087,1.25415948836218e-07,1.18247287215239e-05,7.40140000112019,"Downregulated"
"SRPX2",1.0525916768546,4.86908922263316,5.91971419691202,1.26768290223421e-07,1.18847062597031e-05,7.39119492960959,"Upregulated"
"SLC39A10",0.616272745182512,4.61746216753088,5.90889754024382,1.32331305008036e-07,1.23321158943686e-05,7.35033079150282,"No"
"RBM17",0.347982287265238,4.93537776372516,5.90757674030112,1.33026922085813e-07,1.23321158943686e-05,7.34534240019459,"No"
"MIR4270",-0.616832780553954,4.60206244189122,-5.90330189118913,1.35303214134662e-07,1.24734529741699e-05,7.32919933424527,"No"
"UTP6",0.549882258660441,4.75386807512636,5.89686820934988,1.3880184873903e-07,1.27252921435109e-05,7.30491014487751,"No"
"FKBP10",0.893049680822166,6.03845761305306,5.89339018781518,1.40730294213193e-07,1.27905462938024e-05,7.29178264959291,"No"
"TTL",0.368116793727308,4.85697611835265,5.8928088527373,1.41055198973475e-07,1.27905462938024e-05,7.28958866538532,"No"
"CCNL2",0.479413845460957,5.65563589439998,5.88991259166659,1.42684987718161e-07,1.28680145988867e-05,7.27865896926903,"No"
"HNRNPA2B1",0.80650056877949,7.41768428319343,5.88325203928878,1.46504006677735e-07,1.3141013442218e-05,7.25352970165786,"No"
"ATP11A",0.710653542947569,5.20187888877841,5.87680268180929,1.50298183885638e-07,1.33423109017906e-05,7.22920501718296,"No"
"PLS3",0.949336151334871,6.03769054864935,5.87670518323696,1.50356281706331e-07,1.33423109017906e-05,7.22883734610139,"No"
"CNOT9",0.262531256416869,5.54782183521587,5.87390258058271,1.52035832493527e-07,1.34195883212638e-05,7.21826936891128,"No"
"HAX1",-0.305148937242994,4.87176135510471,-5.87163997619926,1.5340529241277e-07,1.34688223401985e-05,7.20973866313783,"No"
"ENO1",0.849377208114181,7.08047372784609,5.86029502354159,1.60457946936941e-07,1.40138903761663e-05,7.16697908779777,"No"
"GPT2",-0.71272259329925,4.92380984288428,-5.85838509492322,1.61676386874732e-07,1.40463767738183e-05,7.15978285150713,"No"
"FSTL1",1.31054929059759,7.68786923329556,5.84984842730374,1.67235105912934e-07,1.4453642434996e-05,7.12762671824871,"Upregulated"
