"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation"
"PRIM1",-1.5695837820084,7.55536426220881,-5.87082508397116,0.000435453852618205,0.0136262882314309,0.209365738718343,"Downregulated"
"UPP1",0.930045435115652,8.18455252654458,5.8691725233496,0.000436242036369225,0.0136262882314309,0.207446941870458,"Upregulated"
"KIFC1",-0.804855365297223,7.5808836108644,-5.85827591688502,0.000441478792325563,0.0137105653744627,0.194785349896182,"Downregulated"
"APOLD1",-0.784852609699189,7.35470289042286,-5.83267670052968,0.000454056929747385,0.0138791259943256,0.164974786657336,"Downregulated"
"GPAT3",-1.43647503577069,6.49153550903565,-5.79200407067944,0.000474863844094242,0.0143178364487289,0.117423298717528,"Downregulated"
"KIF18B",-1.33214003497012,7.50904586813567,-5.7850289881701,0.000478536828037805,0.01434501904589,0.109245323325439,"Downregulated"
"ABCC2",-0.848555563973376,6.32227718643597,-5.77354107316883,0.000484654818321491,0.0144195398529255,0.0957614039422143,"Downregulated"
"ADCY4",-0.779771711719872,7.65899409241194,-5.728924293447,0.000509248691373171,0.014948230018228,0.0432169082725116,"Downregulated"
"PTGS2",-1.89426427953847,7.14997906555384,-5.70710346948883,0.00052177621622175,0.015197060969162,0.0174168602425686,"Downregulated"
"BRIP1",-1.56450285736156,6.33384574990943,-5.6521080131118,0.000554885811240384,0.0158096639943866,-0.0479060064863921,"Downregulated"
"NUF2",-2.02553322210352,6.28142347017693,-5.62747497744239,0.000570462384574812,0.0160764789613025,-0.0773038699651956,"Downregulated"
"BDKRB2",-0.858421471559629,7.51892833999189,-5.61128517137088,0.000580962444893919,0.0162251525976848,-0.0966723200433925,"Downregulated"
"GAS2L3",-1.06187162871749,6.29125742951446,-5.58468281776134,0.000598681783839713,0.0163956450431447,-0.128578828093071,"Downregulated"
"SUSD5",-1.04825731162042,6.64955089577872,-5.56281660846339,0.000613693281064109,0.0166417233761712,-0.154880576988076,"Downregulated"
"CDC25B",-0.862725257727737,9.87183340948892,-5.5611404868711,0.000614860981477979,0.0166417233761712,-0.156899521573588,"Downregulated"
"CDK1",-1.76085254509846,7.4961164508819,-5.54279959337911,0.000627799847606497,0.0168367461720789,-0.179018044519131,"Downregulated"
"PTGER4",-1.13121406834428,7.11716379732842,-5.52951357005693,0.000637360165305597,0.0169388301960809,-0.195070693453146,"Downregulated"
"RFC4",-0.834163461507081,8.32239197047954,-5.52721316163165,0.000639031732566024,0.0169388301960809,-0.197852703394479,"Downregulated"
